district,total_infection,infection_incidence_rlp,infection_incidence_yr_0_11,infection_incidence_days_yr_12_19,infection_incidence_yr_20_59,infection_incidence_yr_60_above,hospitalized,total_covid19,covid19_incidence_rlp,covid19_incidence_yr_0_11,covid19_incidence_days_yr_12_19,covid19_incidence_yr_20_59,covid19_incidence_yr_60_above,deceased,Week_Number
Rheinland-Pfalz,2297,56.04638671875,113.36734008789062,111.07960510253906,57.26460266113281,19.207406997680664,42,23,0.5559308528900146,0.22228890657424927,0.667144775390625,0.6571347713470459,0.49249762296676636,61,2021KW39
VG Mittelrhein-Westerwald,492,39.00879669189453,86.96478271484375,77.23001861572266,38.23872756958008,14.01698112487793,13,5,0.3964182734489441,0.7307965159416199,0,0.46443799138069153,0.25957372784614563,22,2021KW39
Ahrweiler,39,29.889867782592773,101.78117370605469,55.4815788269043,24.659391403198242,9.33968448638916,0,0,0,0,0,0,0,3,2021KW39
Altenkirchen,50,38.73356628417969,56.02633285522461,41.04248046875,50.246665954589844,12.694866180419922,1,1,0.7746713161468506,0,0,1.522626280784607,0,3,2021KW39
Cochem-Zell,9,14.615609169006348,0,0,29.371450424194336,0,0,0,0,0,0,0,0,6,2021KW39
KS Koblenz,44,38.804813385009766,60.63230895996094,94.6329574584961,44.81864547729492,6.255473613739014,1,1,0.8819275498390198,0,0,1.6006659269332886,0,4,2021KW39
Mayen-Koblenz,65,30.262680053710938,46.450740814208984,62.629173278808594,30.785388946533203,15.45690631866455,3,2,0.9311593770980835,4.222794532775879,0,0,1.545690655708313,0,2021KW39
Neuwied,87,47.50697708129883,105.7895736694336,126.05924987792969,41.04203414916992,16.225570678710938,2,0,0,0,0,0,0,0,2021KW39
Rhein-Hunsrück,67,64.79627990722656,116.95906066894531,168.4810791015625,61.46989822387695,27.682086944580078,1,0,0,0,0,0,0,0,2021KW39
Rhein-Lahn,48,39.16001892089844,76.42922973632812,33.70786666870117,43.667415618896484,20.64036750793457,4,1,0.8158336877822876,0,0,1.617311716079712,0,1,2021KW39
Westerwaldkreis,83,40.92096710205078,150.32275390625,76.48670959472656,28.477317810058594,11.829119682312012,1,0,0,0,0,0,0,5,2021KW39
VG Rheinhessen-Nahe,706,80.00924682617188,173.8401336669922,168.994873046875,78.6288833618164,22.841754913330078,20,11,1.242339849472046,0,1.550411581993103,1.7000839710235596,0.8014650940895081,13,2021KW39
Alzey-Worms,121,92.56780242919922,263.0021667480469,259.2740478515625,70.79332733154297,18.579959869384766,8,6,4.589015483856201,0,9.972078323364258,5.899444103240967,2.654279947280884,3,2021KW39
Bad Kreuznach,103,64.8835220336914,161.86842346191406,110.42214965820312,61.57712936401367,25.948102951049805,0,0,0,0,0,0,0,0,2021KW39
Birkenfeld,82,101.44747924804688,301.834228515625,170.8233642578125,83.09830474853516,48.780487060546875,5,2,2.394292116165161,0,0,5.036261081695557,0,0,2021KW39
Mainz-Bingen,120,56.73088455200195,89.88396453857422,108.91928100585938,67.80717468261719,9.773578643798828,1,1,0.4724937677383423,0,0,0.916313111782074,0,6,2021KW39
KS Mainz,175,80.59947967529297,138.31875610351562,187.4684600830078,80.53567504882812,25.760427474975586,1,0,0,0,0,0,0,4,2021KW39
KS Worms,105,125.8102798461914,235.12574768066406,248.10047912597656,138.74673461914062,21.493358612060547,5,2,2.39638614654541,0,0,2.274536609649658,4.298671722412109,0,2021KW39
VG Rheinpfalz,603,67.03083038330078,122.39542388916016,133.5093231201172,68.91961669921875,25.960832595825195,3,3,0.33346301317214966,0,1.5171513557434082,0.21470284461975098,0.3762439489364624,13,2021KW39
Bad Dürkheim,50,37.59285354614258,87.01326751708984,53.44735336303711,33.316673278808594,25.099828720092773,0,0,0,0,0,0,0,2,2021KW39
KS Frankenthal,60,123.07691955566406,192.81332397460938,139.70382690429688,120.64666748046875,95.89041137695312,0,0,0,0,0,0,0,1,2021KW39
Germersheim,63,48.834938049316406,54.0504035949707,111.59581756591797,60.27018737792969,8.259684562683105,0,0,0,0,0,0,0,0,2021KW39
KS Landau i.d.Pf.,29,62.11845397949219,124.610595703125,61.21824264526367,53.2562370300293,56.841251373291016,0,0,0,0,0,0,0,4,2021KW39
KS Ludwigshafen,164,95.04106140136719,185.86517333984375,238.25479125976562,85.02226257324219,25.596872329711914,1,1,0.5794884562492371,0,7.445462226867676,0,0,1,2021KW39
KS Neustadt a.d.W.,35,65.65865325927734,86.91117858886719,184.01683044433594,76.08612823486328,17.17917823791504,1,1,1.875855803489685,0,0,0,5.72639274597168,1,2021KW39
Rhein-Pfalz-Kreis,95,61.387752532958984,94.00054931640625,117.93522644042969,72.9086685180664,16.854169845581055,0,0,0,0,0,0,0,1,2021KW39
KS Speyer,42,82.77330017089844,203.66598510742188,80.71025085449219,95.49274444580078,19.42627716064453,1,1,1.9705209732055664,0,0,3.8197097778320312,0,2,2021KW39
Südliche Weinstr.,65,58.67326354980469,119.47431182861328,126.90355682373047,57.340476989746094,25.439538955688477,0,0,0,0,0,0,0,1,2021KW39
VG Trier,188,35.17713928222656,48.72700881958008,84.68486785888672,36.30237579345703,15.556232452392578,3,3,0.5558818578720093,0,0,0.3524502217769623,1.296352744102478,5,2021KW39
Bernkastel-Wittlich,48,42.59661865234375,40.93663024902344,121.55098724365234,49.1210823059082,14.187617301940918,1,1,0.8748370409011841,0,0,1.7543244361877441,0,0,2021KW39
Bitburg-Prüm,40,39.97801208496094,88.08244323730469,67.01514434814453,36.2187614440918,20.846363067626953,1,1,0.9664730429649353,0,0,0,3.474393606185913,1,2021KW39
Trier-Saarburg,43,28.56516456604004,35.28581619262695,69.31208038330078,29.25352668762207,13.8363618850708,1,1,0.6636536717414856,0,0,0,2.306060314178467,1,2021KW39
KS Trier,41,37.045738220214844,54.96015548706055,80.8298568725586,35.01987075805664,22.508159637451172,0,0,0,0,0,0,0,3,2021KW39
Vulkaneifel,16,26.45021629333496,16.73640251159668,92.69988250732422,33.37004089355469,4.942176342010498,0,0,0,0,0,0,0,0,2021KW39
VG Westpfalz,308,59.149436950683594,122.20105743408203,83.3848876953125,67.68355560302734,18.356931686401367,3,1,0.181438148021698,0,0,0.37812045216560364,0,8,2021KW39
Donnersbergkreis,18,23.828750610351562,0,50.83022689819336,28.82146453857422,17.160017013549805,1,0,0,0,0,0,0,1,2021KW39
Kaiserslautern,82,77.12565612792969,192.396484375,145.87892150878906,75.69879150390625,15.499550819396973,1,0,0,0,0,0,0,1,2021KW39
KS Kaiserslautern,126,126.42732238769531,309.5376281738281,135.05401611328125,137.0752410888672,33.068782806396484,0,0,0,0,0,0,0,2,2021KW39
Kusel,22,31.381498336791992,53.959259033203125,0,43.668121337890625,12.780097007751465,0,0,0,0,0,0,0,1,2021KW39
KS Pirmasens,32,79.64954376220703,120.5400161743164,107.68126678466797,101.68285369873047,29.470272064208984,1,1,2.4885525703430176,0,0,5.084142684936523,0,0,2021KW39
Südwestpfalz,19,20.018543243408203,21.992523193359375,48.08462905883789,19.278141021728516,15.200340270996094,0,0,0,0,0,0,0,3,2021KW39
KS Zweibrücken,9,26.469810485839844,0,40.12841033935547,46.2133903503418,0,0,0,0,0,0,0,0,0,2021KW39
Rheinland-Pfalz,2100,51.239620208740234,94.02820587158203,80.39094543457031,55.34013366699219,21.095314025878906,71,30,0.7251272201538086,0.22228890657424927,0,0.8448875546455383,0.9029123187065125,60,2021KW40
VG Mittelrhein-Westerwald,512,40.594520568847656,68.69486999511719,61.14043045043945,45.669734954833984,17.131866455078125,22,11,0.872120201587677,0,0,1.393314003944397,0.5191474556922913,22,2021KW40
Ahrweiler,46,35.25471496582031,50.890586853027344,11.09631633758545,44.69514846801758,21.01428985595703,0,0,0,0,0,0,0,3,2021KW40
Altenkirchen,26,20.141454696655273,7.003291606903076,41.04248046875,24.36202049255371,12.694866180419922,1,1,0.7746713161468506,0,0,1.522626280784607,0,4,2021KW40
Cochem-Zell,14,22.73539161682129,50.30181121826172,22.11410903930664,29.371450424194336,4.889975547790527,0,0,0,0,0,0,0,5,2021KW40
KS Koblenz,50,44.096378326416016,34.64703369140625,108.1519546508789,49.620643615722656,21.89415740966797,2,0,0,0,0,0,0,3,2021KW40
Mayen-Koblenz,85,39.57427215576172,76.01030731201172,50.103336334228516,48.89444351196289,7.728453159332275,1,1,0.46557968854904175,0,0,0.9054526090621948,0,0,2021KW40
Neuwied,72,39.31611633300781,76.93787384033203,42.01974868774414,43.202144622802734,18.028411865234375,3,0,0,0,0,0,0,0,2021KW40
Rhein-Hunsrück,65,62.862060546875,116.95906066894531,90.7205810546875,65.311767578125,33.83366012573242,3,1,0.9671086072921753,0,0,1.9209343194961548,0,1,2021KW40
Rhein-Lahn,61,49.76585388183594,61.14338302612305,89.88764190673828,58.22322082519531,23.220413208007812,4,1,0.8158336877822876,0,0,1.617311716079712,0,2,2021KW40
Westerwaldkreis,93,45.85120391845703,106.11017608642578,89.2344970703125,43.66522216796875,15.208868026733398,8,7,3.4511659145355225,0,0,4.746219635009766,3.379748582839966,4,2021KW40
VG Rheinhessen-Nahe,523,59.27030563354492,125.7784423828125,97.67593383789062,57.165321350097656,27.249813079833984,21,10,1.1293998956680298,1.0225889682769775,0,0.4250209927558899,2.8051278591156006,9,2021KW40
Alzey-Worms,103,78.7973861694336,111.77592468261719,139.60910034179688,75.21791076660156,55.7398796081543,6,4,3.0593435764312744,0,0,0,10.617119789123535,2,2021KW40
Bad Kreuznach,88,55.43446731567383,109.83928680419922,84.94011688232422,52.7803955078125,33.93213653564453,6,2,1.2597869634628296,0,0,1.2566760778427124,1.996008038520813,0,2021KW40
Birkenfeld,62,76.70419311523438,267.0072021484375,170.8233642578125,57.9170036315918,22.514070510864258,6,3,3.591438055038452,11.6090087890625,0,2.5181305408477783,3.752345323562622,1,2021KW40
Mainz-Bingen,96,45.38470458984375,98.05523681640625,36.306427001953125,52.2298469543457,14.660367965698242,0,0,0,0,0,0,0,2,2021KW40
KS Mainz,117,53.886505126953125,107.08548736572266,115.36520385742188,51.38943099975586,19.81571388244629,0,0,0,0,0,0,0,4,2021KW40
KS Worms,57,68.29700469970703,163.56573486328125,108.54396057128906,65.96156311035156,21.493358612060547,3,1,1.198193073272705,0,0,0,4.298671722412109,0,2021KW40
VG Rheinpfalz,619,68.80943298339844,95.95801544189453,106.20059967041016,80.94297790527344,27.842052459716797,21,6,0.6669260263442993,0,0,0.8588113784790039,0.7524878978729248,17,2021KW40
Bad Dürkheim,51,38.34471130371094,21.75331687927246,32.06841278076172,51.48940658569336,25.099828720092773,4,0,0,0,0,0,0,7,2021KW40
KS Frankenthal,48,98.46154022216797,227.8702850341797,27.940765380859375,108.58200073242188,47.94520568847656,0,0,0,0,0,0,0,1,2021KW40
Germersheim,94,72.86483001708984,67.56300354003906,192.7564239501953,82.32025146484375,24.779052734375,4,4,3.10019850730896,0,0,4.410013675689697,2.753228187561035,0,2021KW40
KS Landau i.d.Pf.,27,57.83442306518555,41.536865234375,183.65472412109375,57.06025695800781,32.480712890625,1,0,0,0,0,0,0,3,2021KW40
KS Ludwigshafen,113,65.48561096191406,113.33242797851562,96.79100799560547,69.0805892944336,23.26988410949707,2,0,0,0,0,0,0,1,2021KW40
KS Neustadt a.d.W.,35,65.65865325927734,86.91117858886719,131.44058227539062,64.67321014404297,45.81114196777344,5,2,3.75171160697937,0,0,3.8043065071105957,5.72639274597168,1,2021KW40
Rhein-Pfalz-Kreis,128,82.7119140625,82.94166564941406,90.71940612792969,120.2353515625,18.960941314697266,1,0,0,0,0,0,0,1,2021KW40
KS Speyer,44,86.71488189697266,111.09053802490234,134.51708984375,106.95187377929688,32.37712860107422,1,0,0,0,0,0,0,2,2021KW40
Südliche Weinstr.,79,71.31057739257812,162.14370727539062,101.52284240722656,73.46748352050781,31.092769622802734,3,0,0,0,0,0,0,1,2021KW40
VG Trier,240,44.906986236572266,99.19426727294922,64.15520477294922,46.52342987060547,16.852584838867188,6,3,0.5558818578720093,0,0,1.057350754737854,0,4,2021KW40
Bernkastel-Wittlich,48,42.59661865234375,114.62256622314453,109.39588928222656,36.84081268310547,11.350093841552734,1,1,0.8748370409011841,0,0,1.7543244361877441,0,0,2021KW40
Bitburg-Prüm,68,67.9626235961914,176.16488647460938,53.612117767333984,68.6250228881836,27.795148849487305,0,0,0,0,0,0,0,0,2021KW40
Trier-Saarburg,50,33.215309143066406,94.09550476074219,34.65604019165039,35.61298751831055,4.612120628356934,1,1,0.6636536717414856,0,0,1.2718924283981323,0,2,2021KW40
KS Trier,39,35.23862838745117,54.96015548706055,40.4149284362793,41.11028289794922,11.254079818725586,2,1,0.9031791687011719,0,0,1.5226030349731445,0,2,2021KW40
Vulkaneifel,35,57.85984802246094,16.73640251159668,115.8748550415039,66.74008178710938,44.47958755493164,2,0,0,0,0,0,0,0,2021KW40
VG Westpfalz,206,39.56098937988281,91.65079498291016,69.93571472167969,40.08076477050781,14.073648452758789,1,0,0,0,0,0,0,8,2021KW40
Donnersbergkreis,12,15.885833740234375,12.253399848937988,50.83022689819336,15.72079849243164,8.580008506774902,0,0,0,0,0,0,0,1,2021KW40
Kaiserslautern,67,63.01730728149414,200.09234619140625,72.93946075439453,51.09668731689453,24.799280166625977,0,0,0,0,0,0,0,1,2021KW40
KS Kaiserslautern,71,71.24079132080078,154.76881408691406,150.06002807617188,64.93038177490234,33.068782806396484,0,0,0,0,0,0,0,2,2021KW40
Kusel,15,21.39647674560547,13.489814758300781,61.626953125,32.02328872680664,0,0,0,0,0,0,0,0,2,2021KW40
KS Pirmasens,17,42.313819885253906,96.43201446533203,107.68126678466797,35.58899688720703,22.102703094482422,1,0,0,0,0,0,0,0,2021KW40
Südwestpfalz,20,21.07215118408203,32.98878479003906,16.028209686279297,32.13023376464844,3.0400681495666504,0,0,0,0,0,0,0,2,2021KW40
KS Zweibrücken,4,11.764359474182129,0,0,23.1066951751709,0,0,0,0,0,0,0,0,0,2021KW40
Rheinland-Pfalz,2258,55.094791412353516,95.8065185546875,78.38951110839844,59.564571380615234,26.512788772583008,70,36,0.8701526522636414,0.6668667197227478,0,0.7040729522705078,1.4774928092956543,73,2021KW41
VG Mittelrhein-Westerwald,563,44.63811492919922,84.04159545898438,56.84987258911133,47.83711242675781,22.323341369628906,20,12,0.9514038562774658,0.7307965159416199,0,0.7740632891654968,1.5574424266815186,25,2021KW41
Ahrweiler,70,53.64847946166992,109.05125427246094,33.28894805908203,64.73090362548828,23.349210739135742,0,0,0,0,0,0,0,2,2021KW41
Altenkirchen,42,32.536197662353516,28.013166427612305,82.0849609375,42.6335334777832,5.077946662902832,1,1,0.7746713161468506,0,0,1.522626280784607,0,4,2021KW41
Cochem-Zell,47,76.32595825195312,217.97451782226562,22.11410903930664,78.32386779785156,44.00978088378906,3,1,1.6229023933410645,0,0,0,4.889975547790527,5,2021KW41
KS Koblenz,30,26.457826614379883,34.64703369140625,27.037988662719727,32.0133171081543,12.510947227478027,2,2,1.7638550996780396,0,0,1.6006659269332886,3.127736806869507,3,2021KW41
Mayen-Koblenz,74,34.45289611816406,33.78235626220703,37.5775032043457,43.461727142333984,18.54828643798828,3,3,1.39673912525177,0,0,0,4.63707160949707,3,2021KW41
Neuwied,102,55.69783401489258,57.70340347290039,84.03949737548828,52.92262649536133,52.28239822387695,6,2,1.0921143293380737,0,0,1.0800535678863525,1.802841305732727,0,2021KW41
Rhein-Hunsrück,70,67.69760131835938,179.93702697753906,77.760498046875,69.15363311767578,24.606298446655273,1,1,0.9671086072921753,8.996850967407227,0,0,0,1,2021KW41
Rhein-Lahn,35,28.554180145263672,22.928768157958984,56.17977523803711,33.96354675292969,15.48027515411377,0,0,0,0,0,0,0,3,2021KW41
Westerwaldkreis,93,45.85120391845703,159.16526794433594,63.73892593383789,38.919002532958984,10.139245986938477,4,2,0.9860474467277527,0,0,1.8984878063201904,0,4,2021KW41
VG Rheinhessen-Nahe,502,56.89042663574219,107.37184143066406,74.41976165771484,60.14046859741211,26.448347091674805,19,9,1.0164598226547241,2.045177936553955,0,0.6375314593315125,1.6029301881790161,13,2021KW41
Alzey-Worms,83,63.49692153930664,59.17548751831055,49.860389709472656,54.56985855102539,84.93695831298828,5,2,1.5296717882156372,0,0,0,5.308559894561768,4,2021KW41
Bad Kreuznach,58,36.536354064941406,52.029136657714844,50.96406936645508,47.753692626953125,9.980039596557617,0,0,0,0,0,0,0,2,2021KW41
Birkenfeld,70,86.60150909423828,348.270263671875,136.65869140625,62.95326232910156,26.266416549682617,2,0,0,0,0,0,0,2,2021KW41
Mainz-Bingen,84,39.71161651611328,69.45579528808594,66.56178283691406,43.066715240478516,14.660367965698242,0,0,0,0,0,0,0,1,2021KW41
KS Mainz,138,63.55844497680664,111.5473861694336,86.5239028930664,70.56459045410156,17.834142684936523,4,1,0.4602186977863312,0,0,0,1.9815714359283447,4,2021KW41
KS Worms,69,82.67532348632812,153.34288024902344,93.03768157958984,100.07960510253906,17.194686889648438,8,6,7.189158916473389,20.445716857910156,0,6.823609828948975,4.298671722412109,0,2021KW41
VG Rheinpfalz,679,75.47916412353516,93.99968719482422,103.16629791259766,87.16935729980469,41.010589599609375,17,6,0.6669260263442993,0,0,0.6441085338592529,1.1287318468093872,21,2021KW41
Bad Dürkheim,51,38.34471130371094,72.51105499267578,64.13682556152344,33.316673278808594,29.663434982299805,1,1,0.7517383694648743,0,0,0,2.2818026542663574,7,2021KW41
KS Frankenthal,62,127.17948913574219,122.69938659667969,111.7630615234375,132.71133422851562,123.28767395019531,2,0,0,0,0,0,0,1,2021KW41
Germersheim,153,118.59913635253906,74.31930541992188,213.04656982421875,147.00045776367188,57.81779098510742,3,1,0.77504962682724,0,0,1.4700045585632324,0,0,2021KW41
KS Landau i.d.Pf.,16,34.27225112915039,62.3052978515625,61.21824264526367,38.04016876220703,8.12017822265625,1,0,0,0,0,0,0,4,2021KW41
KS Ludwigshafen,132,76.4964599609375,122.39901733398438,74.45462036132812,81.83393096923828,41.88579177856445,5,2,1.1589769124984741,0,0,1.062778353691101,2.326988458633423,3,2021KW41
KS Neustadt a.d.W.,33,61.9067268371582,52.146705627441406,52.576236724853516,91.30335235595703,22.90557098388672,2,0,0,0,0,0,0,2,2021KW41
Rhein-Pfalz-Kreis,94,60.7415657043457,77.41222381591797,99.79134368896484,78.02507019042969,16.854169845581055,2,1,0.6461701393127441,0,0,1.279099464416504,0,1,2021KW41
KS Speyer,38,74.89012908935547,74.06035614013672,161.42050170898438,87.85332489013672,32.37712860107422,0,0,0,0,0,0,0,3,2021KW41
Südliche Weinstr.,100,90.26655578613281,145.07595825195312,76.14213562011719,100.34583282470703,59.358924865722656,1,1,0.9026655554771423,0,0,0,2.826615333557129,0,2021KW41
VG Trier,290,54.26260757446289,116.59676361083984,69.2876205444336,58.15428924560547,20.093467712402344,8,8,1.4823516607284546,0,0,1.057350754737854,3.2408816814422607,4,2021KW41
Bernkastel-Wittlich,75,66.55722045898438,147.3718719482422,36.46529769897461,82.4532470703125,19.86266326904297,2,2,1.7496740818023682,0,0,0,5.675046920776367,1,2021KW41
Bitburg-Prüm,54,53.97031784057617,88.08244323730469,93.82120513916016,64.8125228881836,10.423181533813477,0,0,0,0,0,0,0,1,2021KW41
Trier-Saarburg,84,55.801719665527344,164.66712951660156,51.98405838012695,53.41948318481445,18.448482513427734,5,5,3.318268299102783,0,0,3.8156774044036865,4.612120628356934,1,2021KW41
KS Trier,35,31.62441062927246,54.96015548706055,40.4149284362793,30.45206069946289,22.508159637451172,0,0,0,0,0,0,0,1,2021KW41
Vulkaneifel,42,69.43181610107422,83.6820068359375,185.39976501464844,73.4140853881836,34.59523391723633,1,1,1.6527286767959595,0,0,0,4.942176342010498,0,2021KW41
VG Westpfalz,224,43.01777267456055,86.25956726074219,104.90357208251953,40.08076477050781,18.968830108642578,6,1,0.181438148021698,0,0,0.37812045216560364,0,10,2021KW41
Donnersbergkreis,24,31.77166748046875,49.01359939575195,50.83022689819336,41.9221305847168,4.290004253387451,1,0,0,0,0,0,0,1,2021KW41
Kaiserslautern,89,83.70955657958984,200.09234619140625,230.97496032714844,68.12891387939453,24.799280166625977,1,0,0,0,0,0,0,2,2021KW41
KS Kaiserslautern,54,54.18313980102539,125.74966430664062,165.06602478027344,37.87605667114258,33.068782806396484,1,0,0,0,0,0,0,4,2021KW41
Kusel,17,24.249340057373047,26.979629516601562,20.542316436767578,29.11208152770996,17.040128707885742,0,0,0,0,0,0,0,1,2021KW41
KS Pirmasens,15,37.335723876953125,48.216007232666016,143.57501220703125,30.50485610961914,22.102703094482422,2,0,0,0,0,0,0,0,2021KW41
Südwestpfalz,18,18.964935302734375,0,16.028209686279297,25.704187393188477,15.200340270996094,1,1,1.0398253202438354,0,0,2.1420156955718994,0,2,2021KW41
KS Zweibrücken,7,20.587629318237305,28.587764739990234,0,28.88336944580078,9.345794677734375,0,0,0,0,0,0,0,0,2021KW41
Rheinland-Pfalz,2446,59.68195724487305,76.9119644165039,72.38520812988281,71.58074951171875,29.385690689086914,78,35,0.845981776714325,0.44457781314849854,0.3335723876953125,0.5163201689720154,1.7237416505813599,71,2021KW42
VG Mittelrhein-Westerwald,579,45.90669250488281,76.00283813476562,47.19612121582031,51.552616119384766,25.43822479248047,28,15,1.189254879951477,0,0,0.7740632891654968,2.5957372188568115,25,2021KW42
Ahrweiler,80,61.31254959106445,79.97091674804688,55.4815788269043,75.5193862915039,35.0238151550293,1,0,0,0,0,0,0,2,2021KW42
Altenkirchen,59,45.70560836791992,84.03949737548828,41.04248046875,53.29191970825195,20.311786651611328,5,4,3.0986852645874023,0,0,4.567878723144531,2.538973331451416,4,2021KW42
Cochem-Zell,52,84.44574737548828,217.97451782226562,110.57054138183594,75.06037139892578,53.789730072021484,1,1,1.6229023933410645,0,0,0,4.889975547790527,5,2021KW42
KS Koblenz,47,41.45059585571289,86.61758422851562,67.594970703125,36.81531524658203,28.14963150024414,1,1,0.8819275498390198,0,0,0,3.127736806869507,1,2021KW42
Mayen-Koblenz,71,33.05615997314453,42.22794723510742,50.103336334228516,40.74536895751953,12.365525245666504,3,1,0.46557968854904175,0,0,0.9054526090621948,0,4,2021KW42
Neuwied,102,55.69783401489258,96.1723403930664,70.03291320800781,68.04337310791016,16.225570678710938,4,3,1.6381715536117554,0,0,0,5.408524036407471,1,2021KW42
Rhein-Hunsrück,35,33.84880065917969,35.987403869628906,51.84033203125,40.339622497558594,18.45472526550293,2,0,0,0,0,0,0,3,2021KW42
Rhein-Lahn,40,32.63334655761719,38.21461486816406,11.235955238342285,40.43279266357422,23.220413208007812,3,0,0,0,0,0,0,3,2021KW42
Westerwaldkreis,93,45.85120391845703,84.00389099121094,12.747784614562988,46.5129508972168,38.86710739135742,8,5,2.465118646621704,0,0,0.9492439031600952,6.759497165679932,2,2021KW42
VG Rheinhessen-Nahe,528,59.836944580078125,73.62640380859375,65.1172866821289,67.15331268310547,39.27178955078125,15,7,0.7905799150466919,0,1.550411581993103,0.21251049637794495,2.003662586212158,15,2021KW42
Alzey-Worms,124,94.86286926269531,65.75054168701172,129.63702392578125,95.865966796875,95.5540771484375,4,2,1.5296717882156372,0,0,1.4748610258102417,2.654279947280884,8,2021KW42
Bad Kreuznach,62,39.05610275268555,28.905075073242188,50.96406936645508,51.523719787597656,19.960079193115234,3,3,1.8896805047988892,0,8.494011878967285,0,3.992016077041626,2,2021KW42
Birkenfeld,59,72.9926986694336,174.1351318359375,68.329345703125,65.47139739990234,52.532833099365234,5,1,1.1971460580825806,0,0,0,3.752345323562622,2,2021KW42
Mainz-Bingen,81,38.2933464050293,57.19888687133789,54.45964050292969,40.31777572631836,22.805017471313477,1,0,0,0,0,0,0,0,2021KW42
KS Mainz,122,56.18935012817383,66.92842864990234,28.84130096435547,68.2635726928711,27.74199867248535,1,0,0,0,0,0,0,2,2021KW42
KS Worms,80,95.85545349121094,132.89715576171875,93.03768157958984,116.0013656616211,42.986717224121094,1,1,1.198193073272705,0,0,0,4.298671722412109,1,2021KW42
VG Rheinpfalz,751,83.48284912109375,86.1663818359375,98.61483764648438,108.8543472290039,34.23820114135742,23,10,1.1115434169769287,1.958326816558838,0,0.8588113784790039,1.5049757957458496,19,2021KW42
Bad Dürkheim,58,43.60771179199219,58.008846282958984,53.44735336303711,54.51819610595703,20.536224365234375,3,1,0.7517383694648743,0,0,1.5143942832946777,0,8,2021KW42
KS Frankenthal,47,96.4102554321289,192.81332397460938,279.40765380859375,68.36644744873047,61.643836975097656,3,2,4.102564334869385,17.528484344482422,0,0,6.849315166473389,1,2021KW42
Germersheim,200,155.03155517578125,121.6134033203125,121.74089813232422,221.97068786621094,52.311336517333984,4,2,1.55009925365448,0,0,1.4700045585632324,2.753228187561035,0,2021KW42
KS Landau i.d.Pf.,37,79.25457763671875,124.610595703125,91.82736206054688,79.88436126708984,56.841251373291016,3,0,0,0,0,0,0,5,2021KW42
KS Ludwigshafen,107,62.00849533081055,77.06604766845703,96.79100799560547,75.45726013183594,13.961930274963379,5,2,1.1589769124984741,0,0,0,4.653976917266846,0,2021KW42
KS Neustadt a.d.W.,20,37.519229888916016,0,26.288118362426758,53.260292053222656,28.63196563720703,1,0,0,0,0,0,0,3,2021KW42
Rhein-Pfalz-Kreis,115,74.31148529052734,66.35333251953125,72.57552337646484,111.28165435791016,16.854169845581055,4,3,1.9385104179382324,5.529444217681885,0,2.558198928833008,0,0,2021KW42
KS Speyer,88,173.4297637939453,148.12071228027344,188.32391357421875,225.3628692626953,90.65596008300781,0,0,0,0,0,0,0,2,2021KW42
Südliche Weinstr.,79,71.31057739257812,68.27103424072266,76.14213562011719,91.38638305664062,39.57261657714844,0,0,0,0,0,0,0,0,2021KW42
VG Trier,328,61.37288284301758,81.79176330566406,69.2876205444336,74.71945190429688,27.223407745361328,6,2,0.37058791518211365,0,0,0.3524502217769623,0.648176372051239,6,2021KW42
Bernkastel-Wittlich,63,55.90806198120117,122.80989074707031,48.62039566040039,70.1729736328125,11.350093841552734,0,0,0,0,0,0,0,1,2021KW42
Bitburg-Prüm,67,66.96317291259766,61.657711029052734,93.82120513916016,85.78128051757812,27.795148849487305,3,0,0,0,0,0,0,1,2021KW42
Trier-Saarburg,122,81.04534912109375,99.97647857666016,86.64009857177734,94.12004089355469,48.42726516723633,1,1,0.6636536717414856,0,0,0,2.306060314178467,3,2021KW42
KS Trier,33,29.81730079650879,18.320051193237305,26.94328498840332,39.58768081665039,11.254079818725586,0,0,0,0,0,0,0,0,2021KW42
Vulkaneifel,43,71.08495330810547,100.41841125488281,92.69988250732422,90.09910583496094,29.653059005737305,2,1,1.6527286767959595,0,0,3.3370039463043213,0,1,2021KW42
VG Westpfalz,260,49.93134307861328,62.89760208129883,104.90357208251953,59.36491012573242,17.74503517150879,6,1,0.181438148021698,0,0,0,0.6118977665901184,6,2021KW42
Donnersbergkreis,17,22.50493049621582,24.506799697875977,0,28.82146453857422,17.160017013549805,1,1,1.3112002611160278,0,0,0,4.290004253387451,1,2021KW42
Kaiserslautern,62,58.31452178955078,69.26273345947266,158.03549194335938,68.12891387939453,12.399640083312988,2,0,0,0,0,0,0,0,2021KW42
KS Kaiserslautern,69,69.2340087890625,106.40355682373047,165.06602478027344,70.34124755859375,29.394474029541016,0,0,0,0,0,0,0,1,2021KW42
Kusel,36,51.35154342651367,67.4490737915039,102.71158599853516,61.135372161865234,21.300161361694336,1,0,0,0,0,0,0,1,2021KW42
KS Pirmasens,21,52.27001190185547,0,71.78750610351562,76.26213836669922,29.470272064208984,2,0,0,0,0,0,0,1,2021KW42
Südwestpfalz,44,46.358734130859375,54.98130798339844,112.19746398925781,62.11845397949219,9.120203971862793,0,0,0,0,0,0,0,2,2021KW42
KS Zweibrücken,11,32.35198974609375,85.76329040527344,40.12841033935547,34.66004180908203,9.345794677734375,0,0,0,0,0,0,0,0,2021KW42
